symbol	TCGA-3A-A9IC	TCGA-D7-A748	TCGA-HZ-A49I	TCGA-IB-7888	TCGA-OE-A75W	TCGA-VQ-A8DU	TCGA-VQ-A8DZ	TCGA-VQ-AA6F	TCGA-VQ-AA6G
S100A4	11.5032107949067	8.17725335185419	9.94909274929785	9.49150887853932	12.470379427664	9.04584951311735	5.83508322840584	6.44419475230909	4.86489419107901
ADORA2B	6.90620064727596	5.46628064230143	12.4083867911407	5.88765311774853	6.38466846233526	6.87860400145855	4.8075395480066	4.32488891439592	6.50726134239456
MET	3.73406581583651	3.59891523831555	5.15636479497989	4.08896968649775	3.56609411885502	3.39443598555951	4.40784336701618	5.86654881700188	6.59482956253011
MEST	4.68763674941096	6.07974059790953	4.97372410933265	7.32512686727871	5.54105384043622	7.02719279109447	5.73568070193358	4.10444308384861	4.70398153290587
SEMA3A	4.57648581508378	4.61283491470722	4.92384560627828	5.99060556628573	3.47470968427886	6.74067418737971	3.76438283908516	5.28947716210511	3.50686196192667
S100A13	12.0998702029883	8.746085054107	12.1016756036923	11.4875399518565	12.1558433013311	8.56142197043281	9.03941279469195	7.61979641274578	8.51866355433597
WWC2	5.02687493527883	4.67426325674832	5.40556104487093	5.40356057289657	3.23771645612258	4.990761363096	4.5011925111248	5.04782751208351	5.6369240017071
MFAP4	5.28720824521086	4.09170369711811	4.32431839315887	6.04345486818764	4.13925543055444	4.5710393690384	3.57910175454856	3.75735671628449	3.31163930919963
FAT1	8.22575956282201	7.03807209157062	8.34514511576648	7.5247330102477	6.3008680431785	6.8884033677498	6.85844871670251	10.5420666119903	10.5053878798143
MEX3A	4.95419010442057	3.27806407821019	3.57859895006742	3.48533995869383	3.44644022822986	4.28841871466269	5.0942816837927	3.42569754380512	3.32032979590499
EFEMP1	5.86166801764248	8.65937072412671	6.91706088090906	10.5380973301302	4.33724941417866	4.93796618907605	6.23091541111956	4.74046814822377	3.59886006112325
DYNLL1	7.07903255579559	6.6099550118983	5.32183823354667	7.472894391883	5.33021476886792	4.76025976242486	5.27659088250837	5.34769939642242	5.39723591120365
MGMT	7.54142409688351	5.688036298318	5.97651714307316	6.44706426236129	8.04271061886533	7.1924363180548	5.48061924691698	5.78873344921072	5.05385767821921
SATB1	4.02430270847227	3.98903993236234	3.3366181844008	4.44303174708559	2.02382569392709	4.71087530810657	4.13587385934903	2.8734999673758	4.40748009107657
MGST1	5.18321465498067	11.4661591493623	6.2503157750444	8.91038458777782	6.74720505761857	9.25518357230692	9.53127430035637	10.2596300369007	9.65755837878456
HK1	2.89750051586818	2.40766529753599	2.88575323985421	4.12029255208365	1.38428555450127	5.9124072175123	4.61877263335293	5.9377288345392	6.28846018318482
MGST2	9.09938210263838	9.68407785870605	8.26145551579548	8.20277540922769	8.35408279510158	8.41372379959069	9.79017911026079	6.0603115341015	7.56297098360074
AEBP1	9.32642886986566	7.70663511854034	6.91552152678183	7.16939437361609	8.152294838875	4.78862947091642	4.64030167491685	4.03188290932733	4.16128841995395
YAP1	6.47672343424668	5.43103612234972	6.7365630567208	6.9227665128867	4.88805003017675	7.93415636816979	7.43809045947362	5.30863337584718	5.75611157875505
SNX7	5.77557782887692	5.79470468137017	8.62702042245055	7.70534800462897	5.46044893528846	6.6717891039678	5.80694725070514	6.50646846494391	7.95187621897992
OSBPL1A	7.30669612813687	7.59074356470549	7.68268593698157	8.51276965804409	6.33352733976561	7.08430068969795	6.86995007845452	5.47364341467739	9.27391212553936
MITF	6.32078486676736	6.27562136330949	5.64350658598454	5.71689648528959	5.13940102684575	3.88961642753884	4.54134317270702	7.0933919012617	6.83820247909038
FES	5.08600386134171	3.66144554373415	5.76387977642788	4.99051877276256	4.79363177017079	3.45622485318556	4.82967623674392	2.79445200377632	2.54270287635658
MLF1	7.36572651164008	5.82007376344485	6.27560397176719	6.43387170667514	6.84805304863206	6.23241132600031	5.41387059689593	6.70555394274415	6.66172703415631
AHR	5.81192983187294	5.87063218316782	6.50264467811041	5.83166978620504	3.793987479404	5.38362808297429	6.17080088778765	6.60435562665875	7.61765274144497
IFI30	9.35938981336554	11.8538306618283	10.5175548120995	9.51683083042051	8.9342357211531	8.11674866840114	8.99837078208751	7.35749853175369	8.83609787901554
